LabelName
Greenbelt Park

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AnnualTotal,PreviousAnnualTotal
TRAFFIC COUNT AT MAIN ENTRANCE,2025,"1,797","1,903","5,321","5,352","9,379",,,,,,,,"23,751",11.6%
TRAFFIC COUNT AT MAIN ENTRANCE,2024,684,"1,664","2,237","2,629","3,559","2,596","2,896","1,558","1,376","1,444",331,318,"21,289",-17.7%
TRAFFIC COUNT AT MAIN ENTRANCE,2023,534,"1,446","2,672","2,992","4,477","1,479","1,493",732,"4,484","4,774",275,521,"25,877",52.3%
TRAFFIC COUNT AT MAIN ENTRANCE,2022,946,"1,920","1,000","2,163","4,282","2,661","1,050",0,0,"1,688",842,442,"16,993",327.3%
TRAFFIC COUNT AT MAIN ENTRANCE,2021,116,107,284,527,600,214,282,167,"1,150",229,169,134,"3,978",-36.6%
TRAFFIC COUNT AT MAIN ENTRANCE,2020,288,247,628,519,468,370,272,338,549,"1,197",873,522,"6,269",-82.4%
TRAFFIC COUNT AT MAIN ENTRANCE,2019,350,"1,621","4,053","5,763","6,501","6,527","5,209","4,941",753,0,0,0,"35,716",49.6%
TRAFFIC COUNT AT MAIN ENTRANCE,2018,"1,475","3,225","3,175","1,697","1,934","2,097","6,447","1,947",494,527,369,494,"23,880",-41.9%
TRAFFIC COUNT AT MAIN ENTRANCE,2017,"1,425","3,120","3,125","4,785","5,683","3,628","5,780","5,725","1,993","2,175","1,925","1,725","41,088",3.1%
TRAFFIC COUNT AT MAIN ENTRANCE,2016,"1,325","3,060","3,073","4,625","5,673","3,678","5,772","5,175","1,975","2,128","1,730","1,630","39,843",2.3%
TRAFFIC COUNT AT MAIN ENTRANCE,2015,"1,177","3,110","3,115","4,815","5,675","3,648","5,734","5,290","1,928","2,138",690,"1,620","38,938",1.8%
TRAFFIC COUNT AT MAIN ENTRANCE,2014,"1,267","3,115","3,120","4,728","4,125","5,613","6,013","3,673","1,975","2,188",715,"1,710","38,241",-8.5%
TRAFFIC COUNT AT MAIN ENTRANCE,2013,"3,118","3,174","3,716","4,878","4,180","5,615","6,027","3,930","2,160","2,634",760,"1,625","41,816",-2.8%
TRAFFIC COUNT AT MAIN ENTRANCE,2012,"3,280","3,424","4,310","4,783","4,235","6,180","3,225","3,725","3,175","2,682","2,315","1,675","43,007",-23.2%
TRAFFIC COUNT AT MAIN ENTRANCE,2011,"3,170","3,493","4,260","4,736","4,125","7,250","7,927","9,979","3,133","2,680","3,378","1,839","55,968",-29.1%
TRAFFIC COUNT AT MAIN ENTRANCE,2010,"3,250","3,527","4,225","4,824","3,995","6,250","6,750","34,920","3,139","2,829","3,499","1,745","78,953",42.7%
TRAFFIC COUNT AT MAIN ENTRANCE,2009,"3,093","3,036","4,300","4,763","4,220","6,427","7,817","9,972","2,999","3,341","3,516","1,844","55,324",15.3%
TRAFFIC COUNT AT MAIN ENTRANCE,2008,"2,571","2,942","3,305","4,935","6,847","8,790","4,893","3,269","3,322","3,322","1,007","2,774","47,976",-18.8%
TRAFFIC COUNT AT MAIN ENTRANCE,2007,"5,729","1,924","4,395","4,322","6,695","7,912","5,853","6,025","5,553","4,499","3,888","2,270","59,060",2.0%
TRAFFIC COUNT AT MAIN ENTRANCE,2006,"4,943","2,314","4,217","3,427","8,808","5,839","6,597","5,650","5,027","5,080","3,370","2,614","57,883",-2.2%
TRAFFIC COUNT AT MAIN ENTRANCE,2005,"2,600","2,600","3,300","5,250","6,250","6,350","6,250","7,850","6,100","7,600","2,750","2,310","59,210",0.4%
TRAFFIC COUNT AT MAIN ENTRANCE,2004,"2,600","2,600","3,300","5,250","6,250","6,350","6,250","7,850","6,100","7,600","2,750","2,100","59,000",-45.8%
TRAFFIC COUNT AT MAIN ENTRANCE,2003,"2,095","2,056","2,322","7,344","7,083","13,154","12,494","20,081","15,234","22,139","2,750","2,100","108,850",159.4%
TRAFFIC COUNT AT MAIN ENTRANCE,2002,"1,500","3,039","3,500","3,642","5,667","4,750","4,000","4,750","3,300","3,778","2,499","1,545","41,968",-24.3%
TRAFFIC COUNT AT MAIN ENTRANCE,2001,883,"3,250","4,250","5,500","6,500","6,500","6,500","6,000","4,080","6,364","3,339","2,303","55,467",12.7%
TRAFFIC COUNT AT MAIN ENTRANCE,2000,686,"2,956","4,025","5,130","6,380","5,528","5,626","5,836","5,091","3,101","2,441","2,441","49,239",54.2%
TRAFFIC COUNT AT MAIN ENTRANCE,1999,651,"1,888","2,366","4,500","5,500","1,900","2,543","2,619","2,688","2,432","2,164","2,680","31,929",-27.2%
TRAFFIC COUNT AT MAIN ENTRANCE,1998,"3,848","3,923","3,347","6,047","4,427","4,965","4,840","4,544","1,348","3,109","1,853","1,614","43,861",-65.3%
TRAFFIC COUNT AT MAIN ENTRANCE,1997,"5,066","5,518","5,911","7,671","9,935","19,741","18,176","11,335","12,316","8,440","11,371","11,105","126,581",

