year,song,link,artist
1970,January 3,,"""Raindrops Keep Fallin' on My Head"""
1970,January 31,,"""I Want You Back"""
1970,February 7,,"""Venus"""
1970,February 14,,"""Thank You (Falettinme Be Mice Elf Agin)"" / ""Everybody Is a Star"""
1970,February 28,,"""Bridge over Troubled Water"""
1970,April 11,,"""Let It Be"""
1970,April 25,,"""ABC"""
1970,May 9,,"""American Woman"" / ""No Sugar Tonight"""
1970,May 30,,"""Everything Is Beautiful"""
1970,June 13,,"""The Long and Winding Road"" / ""For You Blue"""
1970,June 27,,"""The Love You Save"""
1970,July 11,,"""Mama Told Me (Not to Come)"""
1970,July 25,,"""(They Long to Be) Close to You"""
1970,August 22,,"""Make It with You"""
1970,August 29,,"""War"""
1970,September 19,,"""Ain't No Mountain High Enough"""
1970,October 10,,"""Cracklin' Rosie"""
1970,October 17,,"""I'll Be There"""
1970,November 21,,"""I Think I Love You"""
1970,December 12,,"""The Tears of a Clown"""
1970,December 26,,"""My Sweet Lord"" / ""Isn't It a Pity"""
1970,The Jackson 5,,10
1970,Simon & Garfunkel,,6
1970,B.J. Thomas,,4
1970,The Guess Who,,3
1970,Sly & the Family Stone,,2
1970,Shocking Blue,,1
1971,January 2,,"""My Sweet Lord"" / ""Isn't It a Pity"""
1971,January 23,,"""Knock Three Times"""
1971,February 13,,"""One Bad Apple"""
1971,March 20,,"""Me and Bobby McGee"""
1971,April 3,,"""Just My Imagination (Running Away with Me)"""
1971,April 17,,"""Joy to the World"""
1971,May 29,,"""Brown Sugar"""
1971,June 12,,"""Want Ads"""
1971,June 19,,"""It's Too Late"" / ""I Feel the Earth Move"""
1971,July 24,,"""Indian Reservation (The Lament of the Cherokee Reservation Indian)"""
1971,July 31,,"""You've Got a Friend"""
1971,August 7,,"""How Can You Mend a Broken Heart"""
1971,September 4,,"""Uncle Albert/Admiral Halsey"""
1971,September 11,,"""Go Away Little Girl"""
1971,October 2,,"""Maggie May"" / ""Reason to Believe"""
1971,November 6,,"""Gypsys, Tramps & Thieves"""
1971,November 20,,"""Theme from Shaft"""
1971,December 4,,"""Family Affair"""
1971,December 25,,"""Brand New Key"""
1971,Three Dog Night,,6
1971,The Osmonds,,5
1971,Bee Gees,,4
1971,George Harrison,,3
1971,Janis Joplin,,2
1971,Honey Cone,,1
1972,January 1,,"""Brand New Key"""
1972,January 15,,"""American Pie"""
1972,February 12,,"""Let's Stay Together"""
1972,February 19,,"""Without You"""
1972,March 18,,"""Heart of Gold"""
1972,March 25,,"""A Horse with No Name"""
