year,song,link,artist,Genre,Length,Language,Label,Page_Exists
1970,January 3,,"""Raindrops Keep Fallin' on My Head""",,,,,No
1970,January 31,,"""I Want You Back""",,,,,No
1970,February 7,,"""Venus""",,,,,No
1970,February 14,,"""Thank You (Falettinme Be Mice Elf Agin)"" / ""Everybody Is a Star""",,,,,No
1970,February 28,,"""Bridge over Troubled Water""",,,,,No
1970,April 11,,"""Let It Be""",,,,,No
1970,April 25,,"""ABC""",,,,,No
1970,May 9,,"""American Woman"" / ""No Sugar Tonight""",,,,,No
1970,May 30,,"""Everything Is Beautiful""",,,,,No
1970,June 13,,"""The Long and Winding Road"" / ""For You Blue""",,,,,No
1970,June 27,,"""The Love You Save""",,,,,No
1970,July 11,,"""Mama Told Me (Not to Come)""",,,,,No
1970,July 25,,"""(They Long to Be) Close to You""",,,,,No
1970,August 22,,"""Make It with You""",,,,,No
1970,August 29,,"""War""",,,,,No
1970,September 19,,"""Ain't No Mountain High Enough""",,,,,No
1970,October 10,,"""Cracklin' Rosie""",,,,,No
1970,October 17,,"""I'll Be There""",,,,,No
1970,November 21,,"""I Think I Love You""",,,,,No
1970,December 12,,"""The Tears of a Clown""",,,,,No
1970,December 26,,"""My Sweet Lord"" / ""Isn't It a Pity""",,,,,No
1970,The Jackson 5,,10,,,,,No
1970,Simon & Garfunkel,,6,,,,,No
1970,B.J. Thomas,,4,,,,,No
1970,The Guess Who,,3,,,,,No
1970,Sly & the Family Stone,,2,,,,,No
1970,Shocking Blue,,1,,,,,No
1971,January 2,,"""My Sweet Lord"" / ""Isn't It a Pity""",,,,,No
1971,January 23,,"""Knock Three Times""",,,,,No
1971,February 13,,"""One Bad Apple""",,,,,No
1971,March 20,,"""Me and Bobby McGee""",,,,,No
1971,April 3,,"""Just My Imagination (Running Away with Me)""",,,,,No
1971,April 17,,"""Joy to the World""",,,,,No
1971,May 29,,"""Brown Sugar""",,,,,No
1971,June 12,,"""Want Ads""",,,,,No
1971,June 19,,"""It's Too Late"" / ""I Feel the Earth Move""",,,,,No
1971,July 24,,"""Indian Reservation (The Lament of the Cherokee Reservation Indian)""",,,,,No
1971,July 31,,"""You've Got a Friend""",,,,,No
1971,August 7,,"""How Can You Mend a Broken Heart""",,,,,No
1971,September 4,,"""Uncle Albert/Admiral Halsey""",,,,,No
1971,September 11,,"""Go Away Little Girl""",,,,,No
1971,October 2,,"""Maggie May"" / ""Reason to Believe""",,,,,No
1971,November 6,,"""Gypsys, Tramps & Thieves""",,,,,No
1971,November 20,,"""Theme from Shaft""",,,,,No
1971,December 4,,"""Family Affair""",,,,,No
1971,December 25,,"""Brand New Key""",,,,,No
1971,Three Dog Night,,6,,,,,No
1971,The Osmonds,,5,,,,,No
1971,Bee Gees,,4,,,,,No
1971,George Harrison,,3,,,,,No
1971,Janis Joplin,,2,,,,,No
1971,Honey Cone,,1,,,,,No
1972,January 1,,"""Brand New Key""",,,,,No
1972,January 15,,"""American Pie""",,,,,No
1972,February 12,,"""Let's Stay Together""",,,,,No
1972,February 19,,"""Without You""",,,,,No
1972,March 18,,"""Heart of Gold""",,,,,No
1972,March 25,,"""A Horse with No Name""",,,,,No
1972,April 15,,"""The First Time Ever I Saw Your Face""†",,,,,No
1972,May 27,,"""Oh Girl""",,,,,No
1972,June 3,,"""I'll Take You There""",,,,,No
1972,June 10,,"""The Candy Man""",,,,,No
1972,July 1,,"""Song Sung Blue""",,,,,No
1972,July 8,,"""Lean on Me""",,,,,No
1972,July 29,,"""Alone Again (Naturally)""",,,,,No
1972,August 26,,"""Brandy (You're a Fine Girl)""",,,,,No
1972,September 2,,"""Alone Again (Naturally)""",,,,,No
1972,September 16,,"""Black and White""",,,,,No
1972,September 23,,"""Baby, Don't Get Hooked on Me""",,,,,No
1972,October 14,,"""Ben""",,,,,No
1972,October 21,,"""My Ding-a-Ling""",,,,,No
1972,November 4,,"""I Can See Clearly Now""",,,,,No
1972,December 2,,"""Papa Was a Rollin' Stone""",,,,,No
1972,December 9,,"""I Am Woman""",,,,,No
1972,December 16,,"""Me and Mrs. Jones""",,,,,No
1972,Roberta Flack,,6,,,,,No
1972,Don McLean,,4,,,,,No
1972,America,,3,,,,,No
1972,Melanie,,2,,,,,No
1972,Al Green,,1,,,,,No
1973,January 6,,"""You're So Vain""",,,,,No
1973,January 27,,"""Superstition""",,,,,No
1973,February 3,,"""Crocodile Rock""",,,,,No
1973,February 24,,"""Killing Me Softly with His Song""",,,,,No
1973,March 24,,"""Love Train""",,,,,No
1973,March 31,,"""Killing Me Softly with His Song""",,,,,No
1973,April 7,,"""The Night the Lights Went Out in Georgia""",,,,,No
1973,April 21,,"""Tie a Yellow Ribbon Round the Ole Oak Tree""",,,,,No
1973,May 19,,"""You Are the Sunshine of My Life""",,,,,No
1973,May 26,,"""Frankenstein""",,,,,No
1973,June 2,,"""My Love""",,,,,No
1973,June 30,,"""Give Me Love (Give Me Peace on Earth)""",,,,,No
1973,July 7,,"""Will It Go Round in Circles""",,,,,No
1973,July 21,,"""Bad, Bad Leroy Brown""",,,,,No
1973,August 4,,"""The Morning After""",,,,,No
1973,August 18,,"""Touch Me in the Morning""",,,,,No
1973,August 25,,"""Brother Louie""",,,,,No
1973,September 8,,"""Let's Get It On""",,,,,No
1973,September 15,,"""Delta Dawn""",,,,,No
1973,September 22,,"""Let's Get It On""",,,,,No
1973,September 29,,"""We're an American Band""",,,,,No
1973,October 6,,"""Half-Breed""",,,,,No
1973,October 20,,"""Angie""",,,,,No
1973,October 27,,"""Midnight Train to Georgia""",,,,,No
1973,November 10,,"""Keep on Truckin'""",,,,,No
1973,November 24,,"""Photograph""",,,,,No
1973,December 1,,"""Top of the World""",,,,,No
1973,December 15,,"""The Most Beautiful Girl""",,,,,No
1973,December 29,,"""Time in a Bottle""",,,,,No
1973,Roberta Flack,,5,,,,,No
1973,Dawn featuring Tony Orlando,,4,,,,,No
1973,Carly Simon,,3,,,,,No
1973,Vicki Lawrence,,2,,,,,No
1973,The O'Jays,,1,,,,,No
1974,January 5,,"""Time in a Bottle""",,,,,No
1974,January 12,,"""The Joker""",,,,,No
1974,January 19,,"""Show and Tell""",,,,,No
1974,January 26,,"""You're Sixteen""",,,,,No
1974,February 2,,"""The Way We Were""",,,,,No
1974,February 9,,"""Love's Theme""",,,,,No
1974,February 16,,"""The Way We Were""",,,,,No
1974,March 2,,"""Seasons in the Sun""",,,,,No
1974,March 23,,"""Dark Lady""",,,,,No
1974,March 30,,"""Sunshine on My Shoulders""",,,,,No
1974,April 6,,"""Hooked on a Feeling""",,,,,No
